distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,datetime,temp,location,clouds,pressure,rain,humidity,wind
0.55,Uber,South Station,Theatre District,7,1,74b72f4c-28bc-4640-a427-ec60b4b11f82,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,28-11-2018 17:32,41.47,Theatre District,0.85,991.67,0,0.63,9.93
0.61,Uber,West End,Haymarket Square,26,1,b25245bc-6622-4bda-8224-d51f944ef604,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,26-11-2018 05:36,40.67,Haymarket Square,0.9,1013.83,0,0.92,1.83
1.22,Lyft,Beacon Hill,Haymarket Square,10.5,1,6a435bb7-616a-48b9-b037-d9b8ace0f537,lyft_plus,Lyft XL,28-11-2018 18:32,41.26,Haymarket Square,0.99,991.7,0,0.64,10.27
1.34,Uber,Fenway,Back Bay,12,1,dee23472-e9a3-4149-8cf8-5a0f87144a94,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,27-11-2018 02:15,44.32,Back Bay,1,1003.12,0.1144,0.9,13.64
1.89,Uber,Theatre District,Northeastern University,21,1,17922e0f-fac4-4588-b9cb-5f325e0eaad4,6c84fd89-3f11-4782-9b50-97c468b19529,Black,28-11-2018 21:32,40.23,Northeastern University,0.86,994.12,0,0.66,9.53
2.81,Lyft,Back Bay,North End,10.5,1,65e2de5e-a617-47ca-bcd3-559d57d012f1,lyft,Lyft,28-11-2018 10:06,33.21,North End,0.14,991.19,0,0.84,5.69
2.83,Lyft,Boston University,West End,34,1,c6466139-0557-4a25-851b-5bd558a5e5de,lyft_luxsuv,Lux Black XL,28-11-2018 09:34,33.22,West End,0.41,991.8,0,0.84,5.96
3.2,Lyft,Fenway,North Station,16.5,1,1e13d3d7-457a-433e-901e-fc78154c20b7,lyft_plus,Lyft XL,28-11-2018 23:02,39.9,North Station,0.98,995.03,0,0.64,9.99
1.57,Uber,North End,Theatre District,26,1,8fceb75f-6394-46c6-9197-f67381d552a2,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,27-11-2018 00:58,43.95,Theatre District,0.98,1005.98,0.1884,0.9,9.95
1.81,Uber,Northeastern University,Theatre District,0,1,4d8704b7-a14b-4302-b779-f2e900963a8e,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,28-11-2018 14:06,38.51,Theatre District,0.48,991.69,0,0.67,11.26
1.61,Uber,Haymarket Square,Theatre District,18.5,1,e10d0184-5fe4-4c1b-8d8a-b50095daffb6,6c84fd89-3f11-4782-9b50-97c468b19529,Black,28-11-2018 14:32,38.99,Theatre District,0.45,991.95,0,0.67,11.14
2.41,Lyft,Beacon Hill,Northeastern University,7,1,6c5273c6-8d7c-4d0f-98c0-bda5561c5e2a,lyft_line,Shared,28-11-2018 14:02,38.49,Northeastern University,0.49,991.67,0,0.67,11.39
4.48,Uber,Fenway,Financial District,42,1,d0e9ef6f-a268-411b-a41c-c7eb2fea3210,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,29-11-2018 01:02,36.85,Financial District,0.71,997.12,0,0.76,10
7.34,Uber,North End,Back Bay,15.5,1,17e5074f-6118-4096-b129-992e1c5eab02,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,26-11-2018 06:14,40.46,Back Bay,1,1014.18,0,0.91,1.16
2.62,Uber,Boston University,Theatre District,10.5,1,95cdde13-941c-44fe-9ff5-36822ee0bbd2,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,28-11-2018 23:53,39.23,Theatre District,0.86,995.96,0,0.66,10.56
4.54,Lyft,Fenway,Financial District,16.5,1.25,cc154482-1d63-4c7c-ae88-1b753c6e013e,lyft,Lyft,28-11-2018 17:02,41.41,Financial District,0.92,991.49,0,0.63,9.25
1.08,Uber,Northeastern University,Back Bay,0,1,467d2f3b-5509-4a90-9e22-8c2a56abf34d,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,29-11-2018 02:02,38.51,Back Bay,0.54,997.83,0,0.7,10.23
1.01,Lyft,Financial District,Haymarket Square,11,1,8051005c-9020-4943-ab3a-7c20c744d2ef,lyft_plus,Lyft XL,26-11-2018 06:49,41.13,Haymarket Square,0.98,1014.35,0,0.92,1.82
3.03,Lyft,Haymarket Square,Back Bay,38.5,1,70f2eff0-3415-415a-bd7e-7ddf01cf02b6,lyft_luxsuv,Lux Black XL,28-11-2018 10:32,32.86,Back Bay,0.16,991.42,0,0.85,6.36
1.12,Lyft,North Station,North End,10.5,1,5701d0b7-e947-4a66-a608-4034df34ba81,lyft_plus,Lyft XL,28-11-2018 12:02,34.64,North End,0.82,991.2,0,0.75,6.39
3.22,Lyft,North Station,Fenway,19.5,1,8501329c-4de6-4e61-8714-8f7635db4b7c,lyft_premier,Lux,26-11-2018 22:42,44.42,Fenway,0.97,1007.91,0.0062,0.88,9.53
1.53,Lyft,Back Bay,Boston University,13.5,1,353a0150-3122-4478-abab-d9180f039051,lyft_premier,Lux,27-11-2018 01:45,44.24,Boston University,1,1004.39,0.552,0.9,13.03
2.43,Lyft,Beacon Hill,Fenway,16.5,1,efdead89-e8fd-4e2c-800f-d1c1a2101aa1,lyft_plus,Lyft XL,28-11-2018 07:33,34.88,Fenway,0.16,991.79,0,0.8,6.52
3.01,Uber,Boston University,North Station,10,1,a70b3c46-a749-431b-8c84-1caef2875f9d,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,28-11-2018 13:02,36.84,North Station,0.64,991.55,0,0.7,6.56
1.47,Uber,South Station,Beacon Hill,0,1,b2776f11-bf20-415d-9713-1bb241bee708,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,28-11-2018 16:02,41.07,Beacon Hill,0.62,991.56,0,0.62,9.9
2.93,Lyft,Fenway,West End,22.5,1,509ebf62-c23b-4284-ab17-2d23b7b6407a,lyft_lux,Lux Black,29-11-2018 00:53,38.72,West End,0.73,996.98,0,0.7,9.75
3.25,Lyft,Northeastern University,North Station,38.5,1,6cec2333-90bb-4fcf-838e-29a5caf7b49e,lyft_luxsuv,Lux Black XL,28-11-2018 23:02,39.9,North Station,0.98,995.03,0,0.64,9.99
3.25,Lyft,Northeastern University,North Station,3,1,eacaba66-581e-41bb-8ba4-6befd80f923b,lyft_line,Shared,26-11-2018 13:05,41.72,North Station,0.93,1015.39,0.004,0.91,3.55
2.79,Uber,Beacon Hill,Boston University,31.5,1,76a1f6f5-830c-48df-bc0c-db16743684fc,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,28-11-2018 21:32,40.45,Boston University,0.86,994.12,0,0.65,9.41
1.9,Uber,Beacon Hill,North End,9.5,1,37db9d2a-8716-4d46-a389-a700b1a124b5,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,28-11-2018 07:33,35.02,North End,0.13,991.56,0,0.8,6.74
1.72,Lyft,Haymarket Square,Theatre District,27.5,1,2c1be138-8189-4a02-9be8-236b047145de,lyft_luxsuv,Lux Black XL,27-11-2018 01:45,44.09,Theatre District,1,1004.19,0.7222,0.91,12.45
0.55,Uber,South Station,Theatre District,7,1,d511a5d1-bb22-4ee9-a052-219794821bbb,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,28-11-2018 09:32,33.21,Theatre District,0.42,991.8,0,0.85,5.93
0.62,Uber,West End,Haymarket Square,26,1,1a0295ad-4722-402e-ad26-a284ef564b21,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,26-11-2018 19:35,45.86,Haymarket Square,0.91,1010.89,0,0.83,8.59
3.01,Uber,Boston University,North Station,23,1,fe093928-3156-46fb-b1ba-b25fd11982ae,6c84fd89-3f11-4782-9b50-97c468b19529,Black,26-11-2018 13:05,41.72,North Station,0.93,1015.39,0.004,0.91,3.55
2.48,Uber,South Station,Beacon Hill,28.5,1,72caf236-bebd-4b15-8f29-88bb73f44d7d,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,28-11-2018 20:32,40.98,Beacon Hill,1,993.29,0,0.65,9.83
3.16,Lyft,Fenway,North Station,19.5,1,d5bf14d7-f357-41be-921b-ca5ea5553dad,lyft_premier,Lux,29-11-2018 02:06,38.36,North Station,0.51,997.88,0.002,0.7,10.37
3.23,Lyft,North Station,Fenway,5,1,e6a03d56-a7c3-4081-b7ce-41933c8b8cdc,lyft_line,Shared,28-11-2018 09:32,33.3,Fenway,0.42,991.82,0,0.84,5.82
1.06,Lyft,North End,North Station,27.5,1,412d59fb-e945-4b1b-a905-0e4d2d00bf0b,lyft_luxsuv,Lux Black XL,28-11-2018 22:53,40.05,North Station,0.99,994.93,0,0.63,9.82
3.04,Uber,West End,Boston University,33,1,b002cfe7-6580-4b6f-a40b-35de18edfdd3,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,28-11-2018 13:32,37.97,Boston University,0.55,991.85,0,0.69,6.41
3.07,Uber,North Station,Fenway,37,1,4ad29d8d-297a-4f13-8f87-e1142e41a679,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,28-11-2018 12:02,34.58,Fenway,0.83,991.23,0,0.76,6.33
1.16,Uber,West End,North End,18,1,0a92c078-483e-42f5-bd28-ee71366f1d2f,6c84fd89-3f11-4782-9b50-97c468b19529,Black,26-11-2018 21:05,44.86,North End,1,1009.12,0,0.84,9.32
4.56,Lyft,Fenway,Financial District,26,1,b203d8a0-49f5-4c3b-b69c-3b46383d2c00,lyft_premier,Lux,27-11-2018 01:45,44.32,Financial District,1,1004.2,0.7753,0.9,12.47
0.66,Lyft,West End,Haymarket Square,3.5,1,ecaff493-15e1-48ab-8a73-40e9521e8912,lyft_line,Shared,26-11-2018 13:05,41.77,Haymarket Square,0.93,1015.39,0,0.91,3.54
0.98,Uber,North End,West End,10.5,1,000baa63-5e1c-4f9d-891c-e4e78e830199,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,28-11-2018 13:32,38.31,West End,0.59,991.71,0,0.68,6.86
2.72,Uber,West End,Fenway,11.5,1,e85df4ab-167e-43c7-a354-4a5dd0fa5548,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,28-11-2018 13:02,36.85,Fenway,0.63,991.58,0,0.7,6.36
4.58,Uber,Financial District,Northeastern University,11,1,f67e6f2f-eb2f-4c82-9fef-1be814829b0e,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,29-11-2018 04:39,37.15,Northeastern University,0.46,998.87,0,0.73,10.07
4.44,Uber,Boston University,Financial District,36,1,51a36059-06f5-446c-942a-ab5907318c55,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,26-11-2018 17:05,45.5,Financial District,0.98,1012.84,0,0.86,6.26
2.25,Uber,Boston University,Beacon Hill,19.5,1,9c40192c-e286-44ac-a49f-3c0af630d65b,6c84fd89-3f11-4782-9b50-97c468b19529,Black,28-11-2018 11:06,32.97,Beacon Hill,0.38,990.68,0,0.83,6.59
1.16,Uber,Theatre District,Haymarket Square,27,1,7368c10f-389a-4ea4-a098-551350ab2816,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,28-11-2018 14:02,38.39,Haymarket Square,0.48,991.64,0,0.67,11.36
1.41,Lyft,Haymarket Square,Beacon Hill,16.5,1,42b7232f-578d-4199-b822-9bcc04b9dfaa,lyft_lux,Lux Black,29-11-2018 06:49,37.87,Beacon Hill,0.99,1000.17,0,0.69,10.02
3.01,Uber,Boston University,North Station,39.5,1,ce7b3ff8-f883-447c-92a0-174ed7bbfff9,6c84fd89-3f11-4782-9b50-97c468b19529,Black,29-11-2018 00:39,38.44,North Station,0.75,996.8,0,0.69,11.07
0.72,Uber,Haymarket Square,West End,0,1,742f4c82-032f-4df3-bf0e-582472b60924,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,29-11-2018 01:53,38.44,West End,0.57,997.66,0,0.7,10.01
2.86,Lyft,Boston University,West End,7,1,acc38745-5a1b-40db-9fc9-6f755c9d0ed5,lyft_line,Shared,26-11-2018 22:42,44.52,West End,0.97,1007.96,0.017,0.88,9.61
3.26,Lyft,North Station,Fenway,27.5,1,11a8b18e-799f-45d9-8189-aac2bc5183cc,lyft_lux,Lux Black,26-11-2018 10:05,40.76,Fenway,1,1014.75,0,0.93,1.9
0.55,Lyft,North Station,Haymarket Square,10.5,1,6e9e4b8e-6497-4a50-b34d-2724d7f08043,lyft_premier,Lux,26-11-2018 04:40,40.58,Haymarket Square,0.87,1014.18,0,0.93,2.55
1.35,Uber,Haymarket Square,Beacon Hill,13,1,4b957fca-0333-4434-9410-8b9a4df17bcf,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,28-11-2018 07:31,35,Beacon Hill,0.15,991.76,0,0.8,6.59
3.13,Lyft,Fenway,Theatre District,38,1,676f7712-4cd1-4a3a-b624-1862a2c252d4,lyft_luxsuv,Lux Black XL,29-11-2018 00:02,39.1,Theatre District,0.83,996.08,0,0.67,10.75
2.23,Lyft,Northeastern University,Theatre District,7,1,1a9998c5-2784-439b-a1c8-3c88c9b48877,lyft_line,Shared,01-12-2018 15:53,39.97,Theatre District,0.12,1022.78,0,0.61,3.34
3.53,Lyft,North Station,Boston University,19.5,1,88bcdf09-2932-418f-b3a8-0fb28bc21515,lyft_plus,Lyft XL,28-11-2018 23:49,39.38,Boston University,0.87,995.93,0,0.66,10.25
1.58,Uber,North Station,South Station,8,1,d35c6a16-9e89-482d-a664-3c6a1f6cfff9,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,28-11-2018 07:33,35.82,South Station,0.15,991.77,0,0.77,6.72
1.34,Uber,Fenway,Back Bay,26.5,1,f42fb4f9-fea3-42dc-97e6-dd40535d45eb,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,28-11-2018 21:53,40.82,Back Bay,0.85,993.97,0,0.63,9.13
3.04,Lyft,West End,Boston University,26,1,4a869d6d-3507-4f98-a61a-182b59b4be93,lyft_lux,Lux Black,28-11-2018 15:02,39.48,Boston University,0.28,991.75,0,0.65,8.35
1.41,Uber,Boston University,Back Bay,17,1,0e745009-d49c-402b-9a99-72af6b8f8ba9,6c84fd89-3f11-4782-9b50-97c468b19529,Black,27-11-2018 02:15,44.32,Back Bay,1,1003.12,0.1144,0.9,13.64
1.5,Uber,Back Bay,Fenway,6.5,1,04b495ec-232e-4ed8-b05b-964a601ae480,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,28-11-2018 07:33,34.88,Fenway,0.16,991.79,0,0.8,6.52
2.79,Uber,Beacon Hill,Boston University,7.5,1,8fefc251-a19f-48ee-96dd-d1e9b5180b06,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,29-11-2018 04:39,37.59,Boston University,0.46,998.87,0,0.71,9.97
