temp,location,clouds,pressure,rain,humidity,wind,datetime
42.42,Back Bay,1.0,1012.14,0.1228,0.77,11.25,16-12-2018 23:45:01
42.43,Beacon Hill,1.0,1012.15,0.1846,0.76,11.32,16-12-2018 23:45:01
42.5,Boston University,1.0,1012.15,0.1089,0.76,11.07,16-12-2018 23:45:01
42.11,Fenway,1.0,1012.13,0.0969,0.77,11.09,16-12-2018 23:45:01
43.13,Financial District,1.0,1012.14,0.1786,0.75,11.49,16-12-2018 23:45:01
42.34,Haymarket Square,1.0,1012.15,0.2068,0.77,11.49,16-12-2018 23:45:01
42.36,North End,1.0,1012.15,0.2088,0.77,11.46,16-12-2018 23:45:01
42.21,North Station,1.0,1012.16,0.2069,0.77,11.37,16-12-2018 23:45:01
42.07,Northeastern University,1.0,1012.12,0.102,0.78,11.28,16-12-2018 23:45:01
43.05,South Station,1.0,1012.12,0.1547,0.75,11.58,16-12-2018 23:45:01
42.09,Theatre District,1.0,1012.13,0.1428,0.78,11.41,16-12-2018 23:45:01
43.28,Back Bay,0.81,990.81,,0.71,8.3,27-11-2018 19:45:20
43.27,Beacon Hill,0.8,990.8,,0.71,8.3,27-11-2018 19:45:20
43.35,Boston University,0.82,990.82,,0.71,8.24,27-11-2018 19:45:20
43.07,Fenway,0.82,990.82,,0.72,8.28,27-11-2018 19:45:20
43.35,Financial District,0.8,990.8,,0.71,8.35,27-11-2018 19:45:20
43.2,Haymarket Square,0.8,990.79,,0.71,8.31,27-11-2018 19:45:20
43.24,North End,0.8,990.79,,0.71,8.32,27-11-2018 19:45:20
41.95,North Station,0.81,991.63,,0.73,10.87,27-11-2018 19:45:20
43.05,Northeastern University,0.81,990.82,,0.72,8.31,27-11-2018 19:45:20
43.31,South Station,0.8,990.8,0.0023,0.71,8.36,27-11-2018 19:45:20
43.05,Theatre District,0.8,990.8,,0.72,8.34,27-11-2018 19:45:20
41.89,West End,0.81,991.64,,0.74,10.88,27-11-2018 19:45:20
43.92,North Station,1.0,1006.29,0.0409,0.9,10.09,27-11-2018 00:17:13
43.87,Northeastern University,1.0,1006.24,0.0284,0.91,9.74,27-11-2018 00:17:13
39.23,Back Bay,0.83,996.09,,0.66,10.67,29-11-2018 00:02:07
39.18,Beacon Hill,0.83,996.08,,0.67,10.69,29-11-2018 00:02:07
39.23,Boston University,0.83,996.11,,0.66,10.53,29-11-2018 00:02:07
39.1,Fenway,0.83,996.11,,0.67,10.59,29-11-2018 00:02:07
39.56,Financial District,0.83,996.07,,0.66,10.79,29-11-2018 00:02:07
39.18,Haymarket Square,0.83,996.07,,0.66,10.73,29-11-2018 00:02:07
39.21,North End,0.82,996.07,,0.66,10.75,29-11-2018 00:02:07
39.1,Northeastern University,0.83,996.1,,0.67,10.66,29-11-2018 00:02:07
39.54,South Station,0.83,996.08,,0.66,10.8,29-11-2018 00:02:07
39.1,Theatre District,0.83,996.08,,0.67,10.75,29-11-2018 00:02:07
39.1,West End,0.83,996.07,,0.67,10.69,29-11-2018 00:02:07
27.27,Back Bay,0.15,1033.4,,0.8,2.96,14-12-2018 11:45:01
